
-----------
sample-job/
-----------

65 tests found in 5 runs.

  test_geolocation_prompt()                                             :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_add_remove_from_favorites()                                      :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_sms_forward_sent_message()                                       :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_get_music_prompt()                                               :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_play_ogv_video()                                                 :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_open_valid_image_file_load_bmp()                         :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_homescreen_change_wallpaper_from_gallery()                       :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_enable_gps_via_settings_app()                                    :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_geolocation_prompt()                                             :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_open_valid_image_file_load_progressive_jpg()             :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_contact_match()                                                  :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_that_device_info_is_populated()                                  :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_open_valid_image_file_load_gif()                         :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_clear_phone_number()                                             :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_settings_battery_power_save_mode()                               :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_open_valid_image_file_load_jpg()                         :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_empty_music()                                                    :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_switch_to_camera()                                       :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_play_mp4_video()                                                 :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_access_and_leave_edit_mode()                                     :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_app_launched_by_system_message()                                 :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_dialer_clear_miss_call_notification()                            :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_get_sdcard_prompt()                                              :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_cost_control_ftu()                                               :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_sms_add_contact()                                                :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
  test_gallery_open_valid_image_file_load_png()                         :    5 runs,    0 skips,    5 passes,    0 failures,    0 xfails,    0 upasses,    0 errors,    0 spurious, (0% failed)
